"Code du département","Libellé du département","Code commune","Libellé commune","N Panneau Liste","Libellé abrégé liste","Libellé Etendu Liste","Nuance Liste","N candidat","Sexe candidat","Nom candidat","Prénom candidat","Candidat au conseil communautaire"
33,"Gironde",3,"Ambarès-et-Lagrave",1,"NNV","Notre Nouvelle Ville","LREM",1,"F","PLANTON","Véronique","O"
33,"Gironde",3,"Ambarès-et-Lagrave",2,"AEPAEL","Avancer Ensemble pour Ambarès-et-Lagrave","LDIV",1,"M","POULAIN","David","O"
33,"Gironde",3,"Ambarès-et-Lagrave",3,"REDYNAMISER AMBARES","Redynamiser Ambarès-et-Lagrave","LRN",1,"M","PORET","Eric","O"
33,"Gironde",3,"Ambarès-et-Lagrave",4,"NPCV","Notre Par(t)i C'est Vous","LDVG",1,"M","GUENDEZ","Nordine","O"
33,"Gironde",3,"Ambarès-et-Lagrave",5,"AGIR ENSEMBLE","AGIR ENSEMBLE POUR AMBARÈS ET LAGRAVE","LDIV",1,"M","GIRAUD","Gilbert","O"
33,"Gironde",3,"Ambarès-et-Lagrave",6,"UN ENGAGEMENT PARTAGÉ","UN ENGAGEMENT PARTAGÉ","LDIV",1,"M","FILLANG","Jean Patrice","O"
33,"Gironde",3,"Ambarès-et-Lagrave",7,"AAAVA","Ambarésiens / Ambarésiennes avec vous autrement","LDIV",1,"F","DESJAMBES","Cecile","O"
33,"Gironde",3,"Ambarès-et-Lagrave",8,"AVEC VOUS ET POUR VOUS","Avec vous et pour vous","LDIV",1,"M","FLORES","Steeven","O"
33,"Gironde",4,"Ambès",1,"AMBES 2020","AMBES 2020",,1,"M","SUBRENAT","Kévin","O"
33,"Gironde",4,"Ambès",2,"AMBES ENSEMBLE","AMBES ENSEMBLE",,1,"M","DODOGARAY","Gilbert Francois","O"
33,"Gironde",13,"Artigues-près-Bordeaux",1,"ARTIGUES AVENIR ENSEMBLE","Artigues l'avenir ensemble","LDVD",1,"F","JACQUET","Anne Lise","O"
33,"Gironde",13,"Artigues-près-Bordeaux",2,"POUR ARTIGUES","POUR ARTIGUES","LDIV",1,"F","CAZADE","Bernadette","O"
33,"Gironde",13,"Artigues-près-Bordeaux",3,"ARTIGUES J'AIME 2020","Artigues j'aime 2020","LDIV",1,"M","GARNIER","Alain","O"
33,"Gironde",32,"Bassens",1,"BVEB","Bien-vivre ensemble à Bassens","LDVG",1,"M","RUBIO","Alexandre","O"
33,"Gironde",32,"Bassens",2,"BASSENS DYN AVEN","BASSENS DYNAMIQUE D'AVENIR","LDVD",1,"M","JEANNETEAU","Alex","O"
33,"Gironde",39,"Bègles",1,"VIVONS BÈGLES","VIVONS BEGLES","LDVG",1,"M","ROSSIGNOL-PUECH","Clement","O"
33,"Gironde",39,"Bègles",2,"BÈGLES EN COMMUN","Bègles en Commun","LDVG",1,"F","ZELLNER","Fanny","O"
33,"Gironde",39,"Bègles",3,"BÈGLES C'EST VOUS","Bègles c'est Vous","LREM",1,"M","JAMET","François","O"
33,"Gironde",39,"Bègles",4,"DEMOCRATIE LIBRE","DEMOCRATIE LIBRE","LDIV",1,"M","BOSSUET","Jean-Claude","O"
33,"Gironde",39,"Bègles",5,"LUTTE OUVRIÈRE - FELCDT","Lutte ouvrière - Faire entendre le camp des travailleurs","LEXG",1,"M","MARHADOUR","Eric","O"
33,"Gironde",39,"Bègles",6,"ESPOIR BEGLAIS","ESPOIR BEGLAIS","LDIV",1,"M","BAGATE","Christian","O"
33,"Gironde",39,"Bègles",7,"RASSEMBLEMENT BV BEGLES","RASSEMBLEMENT, Bien vivre à BEGLES","LRN",1,"F","BASTERES","Maryvonne","O"
33,"Gironde",56,"Blanquefort",1,"PDB","Parole De Blanquefortais","LDVD",1,"M","SIBRAC","Luc","O"
33,"Gironde",56,"Blanquefort",2,"EVB","Ensemble, vivre Blanquefort","LDVG",1,"F","FERREIRA","Véronique","O"
33,"Gironde",56,"Blanquefort",3,"BEL","Blanquefort En Luttes","LEXG",1,"F","BRUN","Marie-Mathilde","O"
33,"Gironde",56,"Blanquefort",4,"UNIS POUR BLANQUEFORT","Unis pour Blanquefort","LREM",1,"F","PLOUGOULM","Emmanuelle","O"
33,"Gironde",63,"Bordeaux",1,"RB","Le Réveil Bordelais","LRN",1,"M","PALUTEAU","Bruno","O"
33,"Gironde",63,"Bordeaux",2,"LTDB","Le temps des bordelais","LDIV",1,"M","GARÇON","Gilles","O"
33,"Gironde",63,"Bordeaux",3,"MAJORITE MUNICIPALE","Majorité Municipale","LDVD",1,"M","FLORIAN","Nicolas","O"
