"id","candidate_list_id","proposition_id","creation_date","update_date","comment_candidate_list","comment_association","status","candidat_e","cityId","city","proposition","category","category_id"
"1","8","1","2025-12-09 13:52:26","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Poursuivre le développement du ReVE en respectant l’ambition et les standards votés en 2021.","Circuler dans la Métropole","1"
"3","8","2","2025-12-13 17:31:15","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Accélérer le déploiement du ReVE pour tenir l’échéance de livraison fixée à 2030","Circuler dans la Métropole","1"
"4","8","6","2025-12-13 17:31:40","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Renforcer le Service Modes Actifs en moyens humains, financiers, et décisionnels.","Circuler dans la Métropole","1"
"5","8","7","2025-12-13 17:31:58","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Créer et mettre en place une charte de chantier pour prendre en compte les cyclistes et les piéton⋅nes lors des travaux de voirie","Circuler dans la Métropole","1"
"6","8","8","2025-12-13 17:32:16","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Privilégier dans l’ordre piéton⋅nes, vélos, transports en commun, puis l’espace alloué à la voiture individuelle","Circuler dans mon Quartier","2"
"7","8","9","2025-12-13 17:32:34","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Repenser les plans de circulation de chaque quartier en limitant le transit motorisé","Circuler dans mon Quartier","2"
"8","8","10","2025-12-13 17:32:58","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Connecter les quartiers au ReVE ou aux grandes pistes de la métropole avec des aménagements cyclables tels que des vélorues.","Circuler dans mon Quartier","2"
"9","8","11","2025-12-13 17:33:11","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Marquer les entrées de quartier pour créer un effet de porte très lisible","Circuler dans mon Quartier","2"
"10","8","12","2025-12-13 17:33:33","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Augmenter l'espace consacré aux modes actifs en diminuant notamment le stationnement en voirie.","Circuler dans mon Quartier","2"
"11","8","14","2025-12-13 17:33:58","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Développer des cœurs de quartier piéton ainsi que des trames piétonnes","Les piétons","3"
"12","8","15","2025-12-13 17:34:50","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Proposer une alternative cyclable aux principaux axes piétons","Les piétons","3"
"13","8","38","2025-12-13 17:36:06","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Soutenir la création d’une piste cyclable en site propre sur les boulevards","Circuler dans la Métropole","1"
"14","8","37","2025-12-13 17:36:37","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Organiser des rencontres avec les associations","Elaborer un Plan vélo","7"
"16","8","36","2025-12-13 17:37:10","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Communiquer favorablement et régulièrement sur le vélo","Elaborer un Plan vélo","7"
"19","8","33","2025-12-13 17:39:37","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Réaliser tous les giratoires sur le principe des ronds-points hollandais.","Guide aménagements Sécurité et confort","6"
"21","8","17","2025-12-13 17:42:02","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Réaliser des trottoirs plats","Les piétons","3"
"23","8","18","2025-12-13 17:44:08","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Mettre en place le Savoir Rouler À Vélo (SRAV) jusqu’au niveau 3","Les écoles","4"
"24","8","19","2025-12-13 17:44:29","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Transformer les rues des écoles en lieux de vie sans voiture","Les écoles","4"
"26","8","25","2025-12-13 17:46:54","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Uniformiser la couleur des aménagements cyclables","Guide aménagements Sécurité et confort","6"
"27","8","26","2025-12-13 17:47:17","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Ne plus utiliser le stabilisé et le béton pour les trottoirs et pistes cyclables","Guide aménagements Sécurité et confort","6"
"29","8","28","2025-12-13 17:48:13","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Aménager des trottoirs plats sans “bateaux”","Guide aménagements Sécurité et confort","6"
"30","8","29","2025-12-13 17:48:44","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Réaliser tous les aménagements cyclables sans bordures","Guide aménagements Sécurité et confort","6"
"32","8","31","2025-12-13 17:49:33","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Créer une zone tampon pour mettre à distance du stationnement les bandes/pistes cyclables pour éviter le risque d’emportiérage","Guide aménagements Sécurité et confort","6"
"33","8","32","2025-12-13 17:49:55","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Sécuriser les sas vélo en peignant leur emprise sur la chaussée, et en retirant le petit feu tricolore du bas","Guide aménagements Sécurité et confort","6"
"34","8","21","2025-12-13 17:51:36","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Proposer des stationnements sécurisés, faciles d’accès, et quantitativement adaptés à chaque gare ou pôle multimodal.","Intermodalité et stationnements","5"
"35","8","22","2025-12-13 17:52:15","2026-01-05 21:39:35",NULL,NULL,"accepted","Loïc Prud'homme","5","Bègles","Développer des parkings sécurisés type Metstation dans les secteurs de stationnement tendus et les pôles d’intérêt majeurs","Intermodalité et stationnements","5"
